Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
O95630	STABP_HUMAN	reviewed	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	STAMBP AMSH	Homo sapiens (Human)	mitotic cytokinesis [GO:0000281]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of cell population proliferation [GO:0008284]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; receptor signaling pathway via JAK-STAT [GO:0007259]	cleavage furrow [GO:0032154]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; isopeptidase activity [GO:0070122]; Lys63-specific deubiquitinase activity [GO:0061578]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; protein domain specific binding [GO:0019904]; thiol-dependent deubiquitinase [GO:0004843]; mitotic cytokinesis [GO:0000281]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of cell population proliferation [GO:0008284]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; receptor signaling pathway via JAK-STAT [GO:0007259]	GO:0000281; GO:0004843; GO:0005634; GO:0005654; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0007259; GO:0008237; GO:0008284; GO:0014067; GO:0016020; GO:0016579; GO:0019904; GO:0032154; GO:0046580; GO:0046872; GO:0061578; GO:0070062; GO:0070122; GO:0070536
P27619	DYN_DROME	reviewed	Dynamin (EC 3.6.5.5) (Protein shibire) (dDyn)	shi CG18102	Drosophila melanogaster (Fruit fly)	adherens junction maintenance [GO:0034334]; border follicle cell migration [GO:0007298]; bulk synaptic vesicle endocytosis [GO:0150008]; cellularization [GO:0007349]; chemical synaptic transmission [GO:0007268]; clathrin-dependent endocytosis [GO:0072583]; clathrin-dependent endocytosis involved in vitellogenesis [GO:0061883]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; compound eye retinal cell programmed cell death [GO:0046667]; conditioned taste aversion [GO:0001661]; cortical actin cytoskeleton organization [GO:0030866]; dorsal appendage formation [GO:0046843]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; endocytosis [GO:0006897]; epithelial cell migration, open tracheal system [GO:0007427]; extracellular matrix organization [GO:0030198]; larval feeding behavior [GO:0030536]; learning [GO:0007612]; membrane fission [GO:0090148]; membrane fusion [GO:0061025]; memory [GO:0007613]; mitochondrial fission [GO:0000266]; mitotic actomyosin contractile ring assembly [GO:1903475]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of protein phosphorylation [GO:0001933]; olfactory learning [GO:0008355]; open tracheal system development [GO:0007424]; ovarian follicle cell development [GO:0030707]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of autophagy [GO:0010508]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; proboscis extension reflex [GO:0007637]; protein localization to plasma membrane [GO:0072659]; receptor internalization [GO:0031623]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament-based process [GO:0032970]; regulation of growth [GO:0040008]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; regulation of synapse structure or activity [GO:0050803]; regulation of tube architecture, open tracheal system [GO:0035152]; salivary gland morphogenesis [GO:0007435]; short-term memory [GO:0007614]; sperm individualization [GO:0007291]; synaptic vesicle budding from presynaptic endocytic zone membrane [GO:0016185]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle membrane organization [GO:0048499]; synaptic vesicle recycling [GO:0036465]; synaptic vesicle transport [GO:0048489]; syncytial blastoderm mitotic cell cycle [GO:0035186]; viral entry into host cell [GO:0046718]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendritic spine head [GO:0044327]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitochondrial membrane [GO:0031966]; mitotic spindle [GO:0072686]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic endocytic zone membrane [GO:0098844]; presynapse [GO:0098793]; sperm individualization complex [GO:0070864]; synapse [GO:0045202]; actin binding [GO:0003779]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; microtubule binding [GO:0008017]; adherens junction maintenance [GO:0034334]; border follicle cell migration [GO:0007298]; bulk synaptic vesicle endocytosis [GO:0150008]; cellularization [GO:0007349]; chemical synaptic transmission [GO:0007268]; clathrin-dependent endocytosis [GO:0072583]; clathrin-dependent endocytosis involved in vitellogenesis [GO:0061883]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; compound eye retinal cell programmed cell death [GO:0046667]; conditioned taste aversion [GO:0001661]; cortical actin cytoskeleton organization [GO:0030866]; dorsal appendage formation [GO:0046843]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; endocytosis [GO:0006897]; epithelial cell migration, open tracheal system [GO:0007427]; extracellular matrix organization [GO:0030198]; larval feeding behavior [GO:0030536]; learning [GO:0007612]; membrane fission [GO:0090148]; membrane fusion [GO:0061025]; memory [GO:0007613]; mitochondrial fission [GO:0000266]; mitotic actomyosin contractile ring assembly [GO:1903475]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of protein phosphorylation [GO:0001933]; olfactory learning [GO:0008355]; open tracheal system development [GO:0007424]; ovarian follicle cell development [GO:0030707]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of autophagy [GO:0010508]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; proboscis extension reflex [GO:0007637]; protein localization to plasma membrane [GO:0072659]; receptor internalization [GO:0031623]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament-based process [GO:0032970]; regulation of growth [GO:0040008]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; regulation of synapse structure or activity [GO:0050803]; regulation of tube architecture, open tracheal system [GO:0035152]; salivary gland morphogenesis [GO:0007435]; short-term memory [GO:0007614]; sperm individualization [GO:0007291]; synaptic vesicle budding from presynaptic endocytic zone membrane [GO:0016185]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle membrane organization [GO:0048499]; synaptic vesicle recycling [GO:0036465]; synaptic vesicle transport [GO:0048489]; syncytial blastoderm mitotic cell cycle [GO:0035186]; viral entry into host cell [GO:0046718]	GO:0000266; GO:0001661; GO:0001738; GO:0001933; GO:0003374; GO:0003779; GO:0003924; GO:0005525; GO:0005737; GO:0005874; GO:0005886; GO:0006897; GO:0007268; GO:0007291; GO:0007298; GO:0007349; GO:0007424; GO:0007427; GO:0007435; GO:0007612; GO:0007613; GO:0007614; GO:0007637; GO:0008017; GO:0008355; GO:0010508; GO:0014069; GO:0015630; GO:0016020; GO:0016185; GO:0030198; GO:0030424; GO:0030536; GO:0030707; GO:0030838; GO:0030866; GO:0031410; GO:0031623; GO:0031966; GO:0032956; GO:0032970; GO:0034334; GO:0035152; GO:0035186; GO:0036465; GO:0040008; GO:0044327; GO:0045202; GO:0046667; GO:0046718; GO:0046843; GO:0048172; GO:0048488; GO:0048489; GO:0048499; GO:0050803; GO:0061025; GO:0061883; GO:0070864; GO:0072583; GO:0072659; GO:0072686; GO:0090148; GO:0098793; GO:0098844; GO:0098884; GO:0150007; GO:0150008; GO:1903475
A2AJK6	CHD7_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7)	Chd7	Mus musculus (Mouse)	adult heart development [GO:0007512]; adult walking behavior [GO:0007628]; aorta development [GO:0035904]; aorta morphogenesis [GO:0035909]; artery morphogenesis [GO:0048844]; atrioventricular canal development [GO:0036302]; blood circulation [GO:0008015]; blood vessel development [GO:0001568]; blood vessel remodeling [GO:0001974]; camera-type eye development [GO:0043010]; cardiac septum morphogenesis [GO:0060411]; central nervous system development [GO:0007417]; chromatin remodeling [GO:0006338]; cognition [GO:0050890]; cranial nerve development [GO:0021545]; ear morphogenesis [GO:0042471]; embryonic hindlimb morphogenesis [GO:0035116]; epithelium development [GO:0060429]; face development [GO:0060324]; female genitalia development [GO:0030540]; genitalia development [GO:0048806]; heart morphogenesis [GO:0003007]; inner ear morphogenesis [GO:0042472]; innervation [GO:0060384]; in utero embryonic development [GO:0001701]; limb development [GO:0060173]; locomotory behavior [GO:0007626]; nose development [GO:0043584]; olfactory behavior [GO:0042048]; olfactory bulb development [GO:0021772]; olfactory nerve development [GO:0021553]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of growth hormone secretion [GO:0060123]; regulation of neurogenesis [GO:0050767]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; response to bacterium [GO:0009617]; retina development in camera-type eye [GO:0060041]; right ventricular compact myocardium morphogenesis [GO:0003226]; roof of mouth development [GO:0060021]; rRNA processing [GO:0006364]; secondary palate development [GO:0062009]; semicircular canal morphogenesis [GO:0048752]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; T cell differentiation [GO:0030217]; tissue remodeling [GO:0048771]; ventricular trabecula myocardium morphogenesis [GO:0003222]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA helicase activity [GO:0003678]; nucleosome-dependent ATPase activity [GO:0070615]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; adult heart development [GO:0007512]; adult walking behavior [GO:0007628]; aorta development [GO:0035904]; aorta morphogenesis [GO:0035909]; artery morphogenesis [GO:0048844]; atrioventricular canal development [GO:0036302]; blood circulation [GO:0008015]; blood vessel development [GO:0001568]; blood vessel remodeling [GO:0001974]; camera-type eye development [GO:0043010]; cardiac septum morphogenesis [GO:0060411]; central nervous system development [GO:0007417]; chromatin remodeling [GO:0006338]; cognition [GO:0050890]; cranial nerve development [GO:0021545]; ear morphogenesis [GO:0042471]; embryonic hindlimb morphogenesis [GO:0035116]; epithelium development [GO:0060429]; face development [GO:0060324]; female genitalia development [GO:0030540]; genitalia development [GO:0048806]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; inner ear morphogenesis [GO:0042472]; innervation [GO:0060384]; limb development [GO:0060173]; locomotory behavior [GO:0007626]; nose development [GO:0043584]; olfactory behavior [GO:0042048]; olfactory bulb development [GO:0021772]; olfactory nerve development [GO:0021553]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of growth hormone secretion [GO:0060123]; regulation of neurogenesis [GO:0050767]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; response to bacterium [GO:0009617]; retina development in camera-type eye [GO:0060041]; right ventricular compact myocardium morphogenesis [GO:0003226]; roof of mouth development [GO:0060021]; rRNA processing [GO:0006364]; secondary palate development [GO:0062009]; semicircular canal morphogenesis [GO:0048752]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; T cell differentiation [GO:0030217]; tissue remodeling [GO:0048771]; ventricular trabecula myocardium morphogenesis [GO:0003222]	GO:0000978; GO:0001501; GO:0001568; GO:0001701; GO:0001974; GO:0003007; GO:0003222; GO:0003226; GO:0003678; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006338; GO:0006364; GO:0007417; GO:0007512; GO:0007605; GO:0007626; GO:0007628; GO:0008015; GO:0009617; GO:0010880; GO:0021545; GO:0021553; GO:0021772; GO:0030217; GO:0030540; GO:0035116; GO:0035904; GO:0035909; GO:0036302; GO:0040018; GO:0042048; GO:0042471; GO:0042472; GO:0043010; GO:0043584; GO:0045944; GO:0048752; GO:0048771; GO:0048806; GO:0048844; GO:0050767; GO:0050890; GO:0060021; GO:0060041; GO:0060123; GO:0060173; GO:0060324; GO:0060384; GO:0060411; GO:0060429; GO:0062009; GO:0070615; GO:0140603; GO:1990841
P0C2X9	AL4A1_RAT	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	Aldh4a1	Rattus norvegicus (Rat)	proline catabolic process to glutamate [GO:0010133]	mitochondrial matrix [GO:0005759]; 1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; identical protein binding [GO:0042802]; proline catabolic process to glutamate [GO:0010133]	GO:0003842; GO:0004029; GO:0005759; GO:0010133; GO:0042802
Q13136	LIPA1_HUMAN	reviewed	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	Homo sapiens (Human)	cell-matrix adhesion [GO:0007160]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stress fiber assembly [GO:0051497]; signal transduction [GO:0007165]; synapse organization [GO:0050808]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; presynaptic active zone [GO:0048786]; cell-matrix adhesion [GO:0007160]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stress fiber assembly [GO:0051497]; signal transduction [GO:0007165]; synapse organization [GO:0050808]	GO:0005737; GO:0005829; GO:0005925; GO:0007160; GO:0007165; GO:0048786; GO:0050808; GO:0051497; GO:1903077
Q03278	PO21_NASVI	reviewed	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Retrovirus-related Pol polyprotein from type I retrotransposable element R2) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease] (Fragment)		Nasonia vitripennis (Parasitic wasp)		endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519; GO:0046872
O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]	catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U11/U12 snRNP [GO:0034693]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; splicing factor binding [GO:1990935]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]	GO:0000245; GO:0000375; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005686; GO:0005689; GO:0008380; GO:0016607; GO:0034693; GO:0071004; GO:0071005; GO:0071013; GO:1990935
Q54K67	MANG_DICDI	reviewed	Alpha-mannosidase G (EC 3.2.1.24)	manG DDB_G0287577	Dictyostelium discoideum (Slime mold)	mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]	GO:0004559; GO:0006013; GO:0009313; GO:0030246; GO:0046872
O15040	TCPR2_HUMAN	reviewed	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	Homo sapiens (Human)	autophagy [GO:0006914]; protein exit from endoplasmic reticulum [GO:0032527]	cytoplasm [GO:0005737]; autophagy [GO:0006914]; protein exit from endoplasmic reticulum [GO:0032527]	GO:0005737; GO:0006914; GO:0032527
Q08473	SQD_DROME	reviewed	RNA-binding protein squid (Heterogeneous nuclear ribonucleoprotein 40) (HNRNP 40)	sqd hrp40 CG16901	Drosophila melanogaster (Fruit fly)	dorsal/ventral axis specification, ovarian follicular epithelium [GO:0008069]; dorsal/ventral pattern formation [GO:0009953]; germarium-derived egg chamber formation [GO:0007293]; intracellular mRNA localization [GO:0008298]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of RNA splicing [GO:0033119]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]; oocyte microtubule cytoskeleton organization [GO:0016325]; oogenesis [GO:0048477]; ovarian follicle cell migration [GO:0007297]; pole plasm mRNA localization [GO:0019094]; pole plasm oskar mRNA localization [GO:0045451]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; RNA export from nucleus [GO:0006405]	catalytic step 2 spliceosome [GO:0071013]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; omega speckle [GO:0035062]; polytene chromosome puff [GO:0005703]; precatalytic spliceosome [GO:0071011]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; dorsal/ventral axis specification, ovarian follicular epithelium [GO:0008069]; dorsal/ventral pattern formation [GO:0009953]; germarium-derived egg chamber formation [GO:0007293]; intracellular mRNA localization [GO:0008298]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of RNA splicing [GO:0033119]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]; oocyte microtubule cytoskeleton organization [GO:0016325]; oogenesis [GO:0048477]; ovarian follicle cell migration [GO:0007297]; pole plasm mRNA localization [GO:0019094]; pole plasm oskar mRNA localization [GO:0045451]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; RNA export from nucleus [GO:0006405]	GO:0000184; GO:0000381; GO:0000398; GO:0000785; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005703; GO:0005737; GO:0006405; GO:0006406; GO:0007293; GO:0007297; GO:0007314; GO:0008069; GO:0008298; GO:0009953; GO:0010468; GO:0016325; GO:0017148; GO:0019094; GO:0030720; GO:0033119; GO:0035062; GO:0045451; GO:0048477; GO:0071011; GO:0071013
Q9ZDH5	NUOE_RICPR	reviewed	NADH-quinone oxidoreductase subunit E (EC 7.1.1.-) (NADH dehydrogenase I subunit E) (NDH-1 subunit E)	nuoE RP353	Rickettsia prowazekii (strain Madrid E)		2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]	GO:0016491; GO:0046872; GO:0048038; GO:0051537
Q8BGY4	KLH26_MOUSE	reviewed	Kelch-like protein 26	Klhl26	Mus musculus (Mouse)			
Q3UG98	NAT9_MOUSE	reviewed	N-acetyltransferase 9 (EC 2.3.1.-)	Nat9	Mus musculus (Mouse)	protein acetylation [GO:0006473]	protein-containing complex [GO:0032991]; N-acetyltransferase activity [GO:0008080]; protein acetylation [GO:0006473]	GO:0006473; GO:0008080; GO:0032991
P30804	ADCY6_CANLF	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	ADCY6	Canis lupus familiaris (Dog) (Canis familiaris)	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cAMP biosynthetic process [GO:0006171]; cellular response to forskolin [GO:1904322]; cellular response to vasopressin [GO:1904117]; intracellular signal transduction [GO:0035556]; negative regulation of urine volume [GO:0035811]; renal water homeostasis [GO:0003091]	cilium [GO:0005929]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; stereocilium [GO:0032420]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cAMP biosynthetic process [GO:0006171]; cellular response to forskolin [GO:1904322]; cellular response to vasopressin [GO:1904117]; intracellular signal transduction [GO:0035556]; negative regulation of urine volume [GO:0035811]; renal water homeostasis [GO:0003091]	GO:0003091; GO:0004016; GO:0005524; GO:0005887; GO:0005929; GO:0006171; GO:0007189; GO:0007193; GO:0031226; GO:0032420; GO:0035556; GO:0035811; GO:0046872; GO:1904117; GO:1904322
P21522	ROA1_SCHAM	reviewed	Heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog	HNRNP	Schistocerca americana (American grasshopper)		nucleus [GO:0005634]; RNA binding [GO:0003723]	GO:0003723; GO:0005634
P11974	KPYM_RABIT	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Pyruvate kinase muscle isozyme)	PKM PKM2	Oryctolagus cuniculus (Rabbit)	positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of sprouting angiogenesis [GO:1903672]	nucleus [GO:0005634]; rough endoplasmic reticulum [GO:0005791]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; mRNA binding [GO:0003729]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of sprouting angiogenesis [GO:1903672]	GO:0000287; GO:0003729; GO:0004743; GO:0005524; GO:0005634; GO:0005791; GO:0016301; GO:0030955; GO:1903672; GO:2000767
P49010	HEXC_BOMMO	reviewed	Chitooligosaccharidolytic beta-N-acetylglucosaminidase (EC 3.2.1.52) (Beta-GlcNAcase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase)		Bombyx mori (Silk moth)	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004563; GO:0006032; GO:0102148
A4IGL7	PXDN_XENTR	reviewed	Peroxidasin (EC 1.11.1.7)	pxdn pxn	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	extracellular space [GO:0005615]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0005615; GO:0006979; GO:0020037; GO:0042744; GO:0046872
Q8WUA7	TB22A_HUMAN	reviewed	TBC1 domain family member 22A	TBC1D22A C22orf4	Homo sapiens (Human)	activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]	14-3-3 protein binding [GO:0071889]; GTPase activator activity [GO:0005096]; protein homodimerization activity [GO:0042803]; activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]	GO:0005096; GO:0006886; GO:0042803; GO:0071889; GO:0090630
Q9W0T1	NU301_DROME	reviewed	Nucleosome-remodeling factor subunit NURF301 (Enhancer of bithorax) (Nucleosome-remodeling factor 215 kDa subunit) (NURF-215)	E(bx) CG32346 CG7022 Nurf301	Drosophila melanogaster (Fruit fly)	chromatin remodeling [GO:0006338]; ecdysone receptor-mediated signaling pathway [GO:0035076]; hemopoiesis [GO:0030097]; negative regulation of innate immune response [GO:0045824]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; nucleosome mobilization [GO:0042766]; positive regulation of transcription, DNA-templated [GO:0045893]; pupariation [GO:0035073]; regulation of gene expression [GO:0010468]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatid differentiation [GO:0048515]	nucleus [GO:0005634]; NURF complex [GO:0016589]; lysine-acetylated histone binding [GO:0070577]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; nuclear receptor binding [GO:0016922]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; chromatin remodeling [GO:0006338]; ecdysone receptor-mediated signaling pathway [GO:0035076]; hemopoiesis [GO:0030097]; negative regulation of innate immune response [GO:0045824]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; nucleosome mobilization [GO:0042766]; positive regulation of transcription, DNA-templated [GO:0045893]; pupariation [GO:0035073]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; spermatid differentiation [GO:0048515]	GO:0000978; GO:0005634; GO:0006338; GO:0006355; GO:0006357; GO:0010468; GO:0016589; GO:0016922; GO:0030097; GO:0035064; GO:0035073; GO:0035076; GO:0042766; GO:0045824; GO:0045893; GO:0046426; GO:0046872; GO:0048515; GO:0070577
Q61151	2A5E_MOUSE	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	Ppp2r5e Kiaa4006	Mus musculus (Mouse)	protein dephosphorylation [GO:0006470]; regulation of protein autophosphorylation [GO:0031952]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; protein phosphatase activator activity [GO:0072542]; protein dephosphorylation [GO:0006470]; regulation of protein autophosphorylation [GO:0031952]; signal transduction [GO:0007165]	GO:0000159; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0007165; GO:0031952; GO:0072542
Q8BYH8	CHD9_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)	Chd9 Kiaa0308 Pric320	Mus musculus (Mouse)	chromatin organization [GO:0006325]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; nucleosome-dependent ATPase activity [GO:0070615]; chromatin organization [GO:0006325]	GO:0003677; GO:0003678; GO:0005524; GO:0005654; GO:0005829; GO:0006325; GO:0070615; GO:0140603
Q99PL5	RRBP1_MOUSE	reviewed	Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp)	Rrbp1	Mus musculus (Mouse)	protein transport [GO:0015031]; signal transduction [GO:0007165]	integral component of endoplasmic reticulum membrane [GO:0030176]; protein transport [GO:0015031]; signal transduction [GO:0007165]	GO:0007165; GO:0015031; GO:0030176
