ID	BlastType	SeqLength	HitAcc	HitDesc	Score	E-Value	PercentIdent	QueryStart	QueryEnd	HitStart	HitEnd
evm.model.HiC_scaffold_1.114	No Hit Found										
evm.model.HiC_scaffold_1.115	No Hit Found										
evm.model.HiC_scaffold_1.116	BLASTX1	651	XP_045129685.1	uncharacterized protein LOC123515209 [Portunus trituberculatus]	250	6e-21	46/110 (41%)	121	450	82	191
evm.model.HiC_scaffold_1.117	No Hit Found										
evm.model.HiC_scaffold_1.118	BLASTX2	337	ELU02389.1	hypothetical protein CAPTEDRAFT_103994, partial [Capitella teleta]	180	1e-14	29/76 (38%)	6	233	4	79
evm.model.HiC_scaffold_1.119	BLASTN1	323	LR884470.1	Acanthopagrus latus isolate v.2019 genome assembly, chromosome: 11	73	2e-06	110/153 (71%)	96	233	31180338	31180488
evm.model.HiC_scaffold_1.12	No Hit Found										
evm.model.HiC_scaffold_1.120	No Hit Found										
evm.model.HiC_scaffold_1.121	No Hit Found										
evm.model.HiC_scaffold_1.122	No Hit Found										
evm.model.HiC_scaffold_1.123	BLASTN1	442	XM_043030472.1	PREDICTED: Penaeus japonicus endo-1,4-beta-xylanase C-like (LOC122262478), mRNA	113	4e-17	76/89 (85%)	333	421	212	300
evm.model.HiC_scaffold_1.124	No Hit Found										
evm.model.HiC_scaffold_1.125	BLASTX1	960	XP_045135575.1	protein PALS2-like isoform X3 [Portunus trituberculatus]	1135	2e-148	208/239 (87%)	1	717	270	505
evm.model.HiC_scaffold_1.126	BLASTX1	10656	XP_038652428.1	adhesive plaque matrix protein-like [Scyliorhinus canicula]	721	7e-74	263/990 (26%)	7916	10516	41	977
evm.model.HiC_scaffold_1.127	No Hit Found										
evm.model.HiC_scaffold_1.128	BLASTX1	994	XP_042220293.1	zinc finger protein 714-like [Homarus americanus]XP_042220294.1 zinc finger protein 714-like [Homarus americanus]XP_042220295.1 zinc finger protein 714-like [Homarus americanus]XP_042220296.1 zinc finger protein 714-like [Homarus americanus]XP_042220297.1 zinc finger protein 714-like [Homarus americanus]XP_042220298.1 zinc finger protein 714-like [Homarus americanus]	484	7e-51	88/164 (53%)	5	496	493	653
evm.model.HiC_scaffold_1.13	BLASTX1	801	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	255	1e-21	48/114 (42%)	436	777	86	197
evm.model.HiC_scaffold_1.14	BLASTN1	222	AC154191.1	Mus musculus BAC clone RP24-70A10 from 16, complete sequence	83	3e-09	156/225 (69%)	6	218	70163	70381
evm.model.HiC_scaffold_1.15	BLASTX1	1012	KAG7171052.1	POU domain, class 6, transcription factor 2-like [Homarus americanus]	866	2e-109	157/162 (96%)	2	487	272	433
evm.model.HiC_scaffold_1.16	BLASTX1	881	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	210	3e-15	48/104 (46%)	225	536	95	197
evm.model.HiC_scaffold_1.17	No Hit Found										
evm.model.HiC_scaffold_1.18	BLASTX1	990	XP_042222281.1	uncharacterized protein LOC121866577 isoform X1 [Homarus americanus]XP_042222282.1 uncharacterized protein LOC121866577 isoform X1 [Homarus americanus]	502	5e-55	121/339 (35%)	4	990	5	328
evm.model.HiC_scaffold_1.19	No Hit Found										
evm.model.HiC_scaffold_1.2	No Hit Found										
evm.model.HiC_scaffold_1.20	BLASTX1	416	XP_041105172.1	zinc finger protein ZFAT-like [Polyodon spathula]	151	4e-08	39/103 (37%)	13	321	584	686
evm.model.HiC_scaffold_1.21	BLASTX1	642	KAG0730378.1	Protein KRI1 [Chionoecetes opilio]	333	9e-32	62/102 (60%)	7	312	303	404
evm.model.HiC_scaffold_1.22	No Hit Found										
evm.model.HiC_scaffold_1.23	No Hit Found										
evm.model.HiC_scaffold_1.24	BLASTX1	357	XP_042206074.1	116 kDa U5 small nuclear ribonucleoprotein component-like [Homarus americanus]KAG7155228.1 116 kDa U5 small nuclear ribonucleoprotein component-like [Homarus americanus]	615	1e-71	113/119 (94%)	1	357	98	216
evm.model.HiC_scaffold_1.25	No Hit Found										
evm.model.HiC_scaffold_1.26	No Hit Found										
evm.model.HiC_scaffold_1.27	BLASTN1	692	CP062026.1	Macrobrachium nipponense isolate FS-2020 chromosome 15	601	2e-149	404/471 (85%)	12	480	11846937	11847400
evm.model.HiC_scaffold_1.28	No Hit Found										
evm.model.HiC_scaffold_1.29	BLASTX1	876	KAG0726392.1	Transposable element Tcb1 transposase [Chionoecetes opilio]	340	3e-33	70/152 (46%)	49	495	189	339
evm.model.HiC_scaffold_1.3	BLASTX1	594	XP_037648546.1	MAGE-like protein 2 [Sebastes umbrosus]	153	3e-08	31/63 (49%)	86	274	14	76
evm.model.HiC_scaffold_1.30	No Hit Found										
evm.model.HiC_scaffold_1.31	No Hit Found										
evm.model.HiC_scaffold_1.32	No Hit Found										
evm.model.HiC_scaffold_1.33	BLASTX1	585	KAG7169779.1	RNA-directed DNA polymerase from mobile element jockey-like 7 [Homarus americanus]	175	9e-11	37/124 (29%)	4	375	24	140
evm.model.HiC_scaffold_1.34	BLASTN1	356	CP034170.1	Nakamurella sp. s14-144 chromosome, complete genome	76	2e-07	96/130 (73%)	171	297	655239	655365
evm.model.HiC_scaffold_1.35	BLASTX1	790	KAG7160942.1	very-long-chain enoyl-CoA reductase art-1-like, partial [Homarus americanus]	1043	9e-141	183/247 (74%)	2	742	17	263
evm.model.HiC_scaffold_1.36	BLASTX1	236	XP_026330081.1	piggyBac transposable element-derived protein 4-like [Hyposmocoma kahamanoa]	256	1e-24	47/76 (61%)	1	228	76	151
evm.model.HiC_scaffold_1.37	No Hit Found										
evm.model.HiC_scaffold_1.38	BLASTX1	1193	RXM30034.1	S-antigen protein [Acipenser ruthenus]	534	7e-60	134/379 (35%)	20	1156	15	392
evm.model.HiC_scaffold_1.39	BLASTX2	244	HID37455.1	hypothetical protein [Ghiorsea sp.]	139	2e-07	26/56 (46%)	1	168	743	798
evm.model.HiC_scaffold_1.4	No Hit Found										
evm.model.HiC_scaffold_1.40	No Hit Found										
evm.model.HiC_scaffold_1.41	No Hit Found										
evm.model.HiC_scaffold_1.42	BLASTN1	609	KT271458.1	Human herpesvirus 8 strain ZM106, partial genome	102	3e-14	232/342 (67%)	7	333	124752	125090
evm.model.HiC_scaffold_1.43	No Hit Found										
evm.model.HiC_scaffold_1.44	BLASTX1	1712	XP_019639909.1	PREDICTED: uncharacterized protein LOC109481757, partial [Branchiostoma belcheri]	1232	1e-164	229/252 (90%)	957	1712	6	257
evm.model.HiC_scaffold_1.45	BLASTX1	2108	RXN01729.1	Dynein heavy chain [Acipenser ruthenus]	657	3e-74	199/489 (40%)	390	1853	5	406
evm.model.HiC_scaffold_1.46	BLASTX1	274	XP_042218113.1	uncharacterized protein LOC121863505 isoform X2 [Homarus americanus]	367	4e-38	66/75 (88%)	49	273	295	369
evm.model.HiC_scaffold_1.47	No Hit Found										
evm.model.HiC_scaffold_1.48	BLASTX1	324	XP_037791465.1	transient receptor potential channel pyrexia-like [Penaeus monodon]XP_037791466.1 transient receptor potential channel pyrexia-like [Penaeus monodon]	143	2e-07	33/91 (36%)	4	258	35	124
evm.model.HiC_scaffold_1.49	BLASTX1	1204	KAG7170056.1	virilizer-like, partial [Homarus americanus]	159	3e-07	68/105 (64%)	737	1048	435	538
evm.model.HiC_scaffold_1.5	No Hit Found										
evm.model.HiC_scaffold_1.50	BLASTX1	382	XP_042886406.1	endo-1,4-beta-xylanase C-like [Penaeus japonicus]	278	2e-27	59/75 (78%)	157	381	153	226
evm.model.HiC_scaffold_1.51	BLASTX1	1033	XP_043919442.1	sperm acrosomal protein FSA-ACR.1-like [Protopterus annectens]	652	1e-78	96/326 (29%)	3	980	15	340
evm.model.HiC_scaffold_1.52	BLASTX1	5381	XP_042218295.1	WD repeat-containing protein 81-like [Homarus americanus]XP_042218296.1 WD repeat-containing protein 81-like [Homarus americanus]	6427	0.0	1305/1894 (68%)	3	5381	67	1944
evm.model.HiC_scaffold_1.53	BLASTX1	1478	XP_042874097.1	sphingomyelin phosphodiesterase-like isoform X2 [Penaeus japonicus]	1417	0.0	279/404 (69%)	276	1478	77	468
evm.model.HiC_scaffold_1.54	BLASTX1	528	XP_027219933.1	methionine synthase-like [Penaeus vannamei]	569	7e-64	103/128 (80%)	1	384	1101	1228
evm.model.HiC_scaffold_1.55	No Hit Found										
evm.model.HiC_scaffold_1.56	No Hit Found										
evm.model.HiC_scaffold_1.57	No Hit Found										
evm.model.HiC_scaffold_1.58	No Hit Found										
evm.model.HiC_scaffold_1.59	BLASTX1	560	XP_042206712.1	uncharacterized protein LOC121855695 [Homarus americanus]	147	3e-07	38/126 (30%)	180	557	110	232
evm.model.HiC_scaffold_1.6	BLASTX1	1252	KAF6088872.1	proprotein convertase subtilisin/kexin type 2 [Phyllostomus discolor]	1219	2e-160	234/372 (62%)	188	1252	182	544
evm.model.HiC_scaffold_1.60	No Hit Found										
evm.model.HiC_scaffold_1.61	BLASTX1	2229	XP_045109513.1	LOW QUALITY PROTEIN: hemicentin-2-like [Portunus trituberculatus]	1055	6e-128	223/380 (58%)	1	1140	337	638
evm.model.HiC_scaffold_1.62	No Hit Found										
evm.model.HiC_scaffold_1.63	BLASTX1	1162	XP_042886409.1	POU domain, class 6, transcription factor 2-like isoform X3 [Penaeus japonicus]	768	6e-93	152/168 (90%)	2	502	340	507
evm.model.HiC_scaffold_1.64	BLASTX1	1165	XP_042886409.1	POU domain, class 6, transcription factor 2-like isoform X3 [Penaeus japonicus]	765	1e-92	152/168 (90%)	2	502	340	507
evm.model.HiC_scaffold_1.65	No Hit Found										
evm.model.HiC_scaffold_1.66	No Hit Found										
evm.model.HiC_scaffold_1.67	No Hit Found										
evm.model.HiC_scaffold_1.68	BLASTX2	582	CAC5412510.1	unnamed protein product [Mytilus coruscus]	169	9e-11	54/183 (29%)	13	501	6	182
evm.model.HiC_scaffold_1.69	BLASTX1	406	XP_039315242.1	uncharacterized protein LOC120359881 isoform X1 [Solenopsis invicta]	240	1e-27	44/109 (40%)	110	403	387	495
evm.model.HiC_scaffold_1.7	BLASTX1	568	XP_042235340.1	zwei Ig domain protein zig-8-like [Homarus americanus]	815	1e-106	148/189 (78%)	2	568	80	268
evm.model.HiC_scaffold_1.70	BLASTN1	543	HG994385.1	Canis lupus genome assembly, chromosome: 5	167	1e-31	307/429 (71%)	122	541	82312509	82312892
evm.model.HiC_scaffold_1.71	BLASTX1	1296	XP_042893962.1	ras GTPase-activating protein raskol-like isoform X4 [Penaeus japonicus]	917	3e-108	279/411 (67%)	1	1194	677	1084
evm.model.HiC_scaffold_1.72	BLASTX1	1256	XP_005112626.1	cell surface glycoprotein 1-like [Aplysia californica]	211	4e-15	50/134 (37%)	13	414	75	208
evm.model.HiC_scaffold_1.73	No Hit Found										
evm.model.HiC_scaffold_1.74	BLASTX1	260	XP_045137266.1	uncharacterized protein LOC123519814 [Portunus trituberculatus]XP_045137267.1 uncharacterized protein LOC123519814 [Portunus trituberculatus]	255	4e-24	49/74 (66%)	1	216	183	256
evm.model.HiC_scaffold_1.75	No Hit Found										
evm.model.HiC_scaffold_1.76	BLASTX1	1878	XP_042233010.1	kelch-like protein 5 isoform X2 [Homarus americanus]	1605	0.0	336/457 (73%)	731	1876	214	670
evm.model.HiC_scaffold_1.77	BLASTX1	270	XP_045135537.1	uncharacterized protein LOC123518662 isoform X2 [Portunus trituberculatus]	316	2e-34	57/76 (75%)	1	228	46	121
evm.model.HiC_scaffold_1.78	BLASTX1	2092	XP_042207352.1	uncharacterized protein LOC121856100 isoform X2 [Homarus americanus]	668	3e-70	158/353 (44%)	17	964	546	884
evm.model.HiC_scaffold_1.79	BLASTX1	469	XP_042205921.1	RWD domain-containing protein 1-like [Homarus americanus]KAG7155349.1 RWD domain-containing protein 1-like [Homarus americanus]	338	8e-36	77/112 (68%)	2	337	96	207
evm.model.HiC_scaffold_1.8	BLASTX1	6679	OWF47830.1	Ribosome-binding protein 1 [Mizuhopecten yessoensis]	774	6e-86	157/402 (39%)	1	1200	21	422
evm.model.HiC_scaffold_1.80	BLASTX1	667	XP_042207361.1	uncharacterized protein LOC121856104 isoform X3 [Homarus americanus]	787	9e-97	161/222 (72%)	2	667	29	244
evm.model.HiC_scaffold_1.81	BLASTX1	947	KAG7171055.1	c-ets-1-B-like [Homarus americanus]	1203	1e-162	245/267 (91%)	3	794	74	340
evm.model.HiC_scaffold_1.82	BLASTX1	1361	OWF49466.1	S-antigen protein [Mizuhopecten yessoensis]	230	5e-22	48/160 (30%)	761	1240	50	192
evm.model.HiC_scaffold_1.83	BLASTX1	499	XP_035695065.1	uncharacterized protein LOC118428894 [Branchiostoma floridae]	201	2e-14	44/118 (37%)	145	498	307	423
evm.model.HiC_scaffold_1.84	No Hit Found										
evm.model.HiC_scaffold_1.85	No Hit Found										
evm.model.HiC_scaffold_1.86	No Hit Found										
evm.model.HiC_scaffold_1.87	No Hit Found										
evm.model.HiC_scaffold_1.88	No Hit Found										
evm.model.HiC_scaffold_1.89	BLASTX1	1195	XP_042218316.1	uncharacterized protein LOC121863628 [Homarus americanus]	265	2e-23	55/92 (59%)	2	262	9	99
evm.model.HiC_scaffold_1.9	No Hit Found										
evm.model.HiC_scaffold_1.90	BLASTX1	1670	XP_045135296.1	beta-TrCP-like isoform X2 [Portunus trituberculatus]	2731	0.0	532/556 (95%)	1	1668	1	555
evm.model.HiC_scaffold_1.91	No Hit Found										
evm.model.HiC_scaffold_1.92	No Hit Found										
evm.model.HiC_scaffold_1.93	BLASTX1	315	XP_042890951.1	unconventional myosin IC-like [Penaeus japonicus]	318	3e-31	63/87 (72%)	1	261	572	657
evm.model.HiC_scaffold_1.94	No Hit Found										
evm.model.HiC_scaffold_1.95	BLASTX1	1055	GBG35397.1	wsv026-like protein [Marsupenaeus japonicus endogenous nimavirus]	322	3e-28	92/290 (31%)	57	860	15	296
evm.model.HiC_scaffold_1.96	BLASTX1	201	XP_042236336.1	mitochondrial import inner membrane translocase subunit Tim9-like [Homarus americanus]XP_042236337.1 mitochondrial import inner membrane translocase subunit Tim9-like[Homarus americanus]KAG7160848.1 Mitochondrial import inner membrane translocase subunit Tim9-like[Homarus americanus]	312	4e-35	58/65 (89%)	7	201	2	66
evm.model.HiC_scaffold_1.97	BLASTX1	4083	XP_027219933.1	methionine synthase-like [Penaeus vannamei]	4315	0.0	854/1049 (81%)	940	4083	13	1060
evm.model.HiC_scaffold_1.98	BLASTX1	1085	XP_037780371.1	lysosomal cobalamin transporter ABCD4-like [Penaeus monodon]	729	2e-86	168/309 (54%)	1	735	42	348
evm.model.HiC_scaffold_1.99	No Hit Found										
evm.model.HiC_scaffold_10.1	BLASTX1	309	XP_028148246.1	small conductance calcium-activated potassium channel protein-like, partial [Diabrotica virgifera virgifera]	515	6e-64	96/103 (93%)	1	309	1	103
evm.model.HiC_scaffold_10.10	BLASTN1	618	XR_005726477.1	PREDICTED: Ictidomys tridecemlineatus dynein axonemal heavy chain 2 (Dnah2), transcript variant X12, misc_RNA	76	3e-07	50/58 (86%)	230	287	220	277
evm.model.HiC_scaffold_10.100	BLASTX1	186	XP_045114048.1	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X3 [Portunus trituberculatus]	201	3e-16	43/60 (71%)	9	185	28	86
evm.model.HiC_scaffold_10.101	No Hit Found										
evm.model.HiC_scaffold_10.102	BLASTX1	564	XP_042203698.1	death-associated inhibitor of apoptosis 2-like isoform X2 [Homarus americanus]	626	4e-73	119/197 (60%)	1	561	131	324
evm.model.HiC_scaffold_10.103	No Hit Found										
evm.model.HiC_scaffold_10.104	BLASTX1	767	KAG7173943.1	cyclin-dependent kinase 2-like 1, partial [Homarus americanus]	925	3e-121	173/181 (95%)	225	767	1	181
evm.model.HiC_scaffold_10.105	No Hit Found										
evm.model.HiC_scaffold_10.106	BLASTX1	1494	XP_042212812.1	dentin sialophosphoprotein-like [Homarus americanus]	209	5e-13	32/53 (60%)	1187	1345	330	382
evm.model.HiC_scaffold_10.107	No Hit Found										
evm.model.HiC_scaffold_10.108	No Hit Found										
evm.model.HiC_scaffold_10.109	BLASTN1	481	CP020623.1	Oryzias latipes strain HSOK chromosome 3	125	2e-20	134/181 (74%)	291	468	38525154	38525324
evm.model.HiC_scaffold_10.11	BLASTX1	426	XP_045128318.1	uncharacterized protein LOC123514502 [Portunus trituberculatus]	219	2e-17	43/88 (48%)	13	273	223	310
evm.model.HiC_scaffold_10.110	BLASTX1	401	XP_042238391.1	low affinity immunoglobulin epsilon Fc receptor-like isoform X6 [Homarus americanus]	312	3e-33	57/132 (43%)	19	396	20	150
evm.model.HiC_scaffold_10.111	No Hit Found										
evm.model.HiC_scaffold_10.112	BLASTX1	3280	XP_045128486.1	protein artichoke-like [Portunus trituberculatus]	3104	0.0	676/1100 (61%)	2	3247	1	1095
evm.model.HiC_scaffold_10.113	No Hit Found										
evm.model.HiC_scaffold_10.114	BLASTX1	394	XP_031648609.1	uncharacterized protein LOC116354018 isoform X1 [Oncorhynchus kisutch]	173	3e-11	35/86 (40%)	86	343	3	88
evm.model.HiC_scaffold_10.115	No Hit Found										
evm.model.HiC_scaffold_10.116	BLASTX1	812	XP_045104953.1	mitochondrial amidoxime reducing component 2-like isoform X2 [Portunus trituberculatus]	637	5e-78	123/230 (53%)	124	810	66	294
evm.model.HiC_scaffold_10.117	BLASTX1	631	XP_042210685.1	trypsin-1-like [Homarus americanus]XP_042210686.1 trypsin-1-like [Homarus americanus]	336	4e-33	59/93 (63%)	352	630	320	412
evm.model.HiC_scaffold_10.118	No Hit Found										
evm.model.HiC_scaffold_10.119	No Hit Found										
evm.model.HiC_scaffold_10.12	BLASTX1	206	XP_042241705.1	cuticle protein AMP4-like [Homarus americanus]	175	5e-14	32/44 (72%)	73	204	53	96
evm.model.HiC_scaffold_10.120	BLASTX1	452	XP_027220380.1	myb/SANT-like DNA-binding domain-containing protein 4 [Penaeus vannamei]	222	8e-19	51/128 (39%)	55	438	11	135
evm.model.HiC_scaffold_10.121	No Hit Found										
evm.model.HiC_scaffold_10.122	No Hit Found										
evm.model.HiC_scaffold_10.123	No Hit Found										
evm.model.HiC_scaffold_10.124	BLASTX1	476	XP_042871330.1	uncharacterized protein LOC122252759 [Penaeus japonicus]	134	9e-06	40/148 (27%)	24	455	16	159
evm.model.HiC_scaffold_10.125	No Hit Found										
evm.model.HiC_scaffold_10.126	BLASTX1	1084	XP_042205620.1	glycogen synthase kinase-3 beta-like isoform X3 [Homarus americanus]	1819	0.0	345/381 (90%)	2	1084	1	380
evm.model.HiC_scaffold_10.127	BLASTX1	911	WP_227202145.1	leucine-rich repeat protein [Blautia faecis]MCB6329934.1 leucine-rich repeat protein [Blautia faecis]	175	1e-09	67/207 (32%)	267	824	1298	1481
evm.model.HiC_scaffold_10.128	No Hit Found										
evm.model.HiC_scaffold_10.129	No Hit Found										
evm.model.HiC_scaffold_10.13	BLASTX1	1113	XP_018006452.1	PREDICTED: mucin-1-like [Hyalella azteca]	1008	4e-131	144/375 (38%)	1	1113	45	414
evm.model.HiC_scaffold_10.130	BLASTX1	1500	XP_042211231.1	L-asparaginase-like isoform X2 [Homarus americanus]	2006	0.0	370/517 (71%)	1	1458	72	585
evm.model.HiC_scaffold_10.131	BLASTX1	1113	XP_042211223.1	uncharacterized protein LOC121858701 [Homarus americanus]	678	3e-79	144/346 (41%)	1	1032	186	514
evm.model.HiC_scaffold_10.132	BLASTX1	1809	XP_042211224.1	anoctamin-10-like isoform X1 [Homarus americanus]XP_042211225.1 anoctamin-10-like isoform X1 [Homarus americanus]	2256	0.0	480/711 (67%)	1	1809	1	705
evm.model.HiC_scaffold_10.133	BLASTX1	1587	XP_037800019.1	protein bicaudal C homolog 1-like [Penaeus monodon]	1352	2e-174	267/359 (74%)	487	1563	97	450
evm.model.HiC_scaffold_10.134	BLASTX1	330	XP_017492171.1	PREDICTED: uncharacterized protein LOC108380309 [Rhagoletis zephyria]	202	1e-17	37/103 (35%)	12	320	1	102
evm.model.HiC_scaffold_10.135	No Hit Found										
evm.model.HiC_scaffold_10.136	BLASTX1	558	XP_042229112.1	MAM and LDL-receptor class A domain-containing protein 2-like [Homarus americanus]	510	1e-55	104/221 (47%)	37	558	4081	4301
evm.model.HiC_scaffold_10.137	BLASTX1	943	XP_042229112.1	MAM and LDL-receptor class A domain-containing protein 2-like [Homarus americanus]	620	2e-68	127/271 (46%)	109	891	3287	3553
evm.model.HiC_scaffold_10.138	BLASTX1	477	XP_027229857.1	piggyBac transposable element-derived protein 4-like [Penaeus vannamei]	143	8e-07	41/103 (39%)	172	477	601	700
evm.model.HiC_scaffold_10.139	BLASTX1	449	KAG7165310.1	PiggyBac transposable element-derived protein 4-like 8 [Homarus americanus]	343	4e-37	69/149 (46%)	1	447	1	149
evm.model.HiC_scaffold_10.14	BLASTX2	522	ROT75330.1	hypothetical protein C7M84_006141 [Penaeus vannamei]	147	3e-07	62/180 (34%)	6	518	399	568
evm.model.HiC_scaffold_10.140	No Hit Found										
evm.model.HiC_scaffold_10.141	No Hit Found										
evm.model.HiC_scaffold_10.142	BLASTX1	798	XP_045124323.1	UTP--glucose-1-phosphate uridylyltransferase-like isoform X5 [Portunus trituberculatus]	1251	8e-169	234/257 (91%)	28	798	199	455
evm.model.HiC_scaffold_10.143	No Hit Found										
evm.model.HiC_scaffold_10.144	BLASTX1	970	XP_040262207.1	52 kDa repressor of the inhibitor of the protein kinase-like [Bufo bufo]	646	2e-75	121/138 (87%)	556	969	69	206
evm.model.HiC_scaffold_10.145	No Hit Found										
evm.model.HiC_scaffold_10.146	No Hit Found										
evm.model.HiC_scaffold_10.147	BLASTX1	1017	XP_018016629.1	PREDICTED: uncharacterized protein LOC108673335 isoform X1 [Hyalella azteca]	236	2e-17	54/146 (36%)	553	987	149	289
evm.model.HiC_scaffold_10.148	BLASTX1	236	XP_027227845.1	phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta-like isoform X3 [Penaeus vannamei]	220	2e-18	42/52 (80%)	25	180	1453	1504
evm.model.HiC_scaffold_10.149	No Hit Found										
evm.model.HiC_scaffold_10.15	BLASTX1	810	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	251	4e-21	48/115 (41%)	442	786	86	197
evm.model.HiC_scaffold_10.150	BLASTX1	303	KAG7159521.1	CCN family member 2-like 1, partial [Homarus americanus]	241	4e-22	46/74 (62%)	82	303	5	77
evm.model.HiC_scaffold_10.151	BLASTX1	1906	MPC39231.1	Ankyrin repeat and fibronectin type-III domain-containing protein 1 [Portunus trituberculatus]	1167	3e-146	264/343 (76%)	886	1905	74	410
evm.model.HiC_scaffold_10.152	No Hit Found										
evm.model.HiC_scaffold_10.153	BLASTX1	1008	XP_036369788.1	zinc finger protein OZF-like [Octopus sinensis]	468	8e-51	93/224 (41%)	283	954	195	409
evm.model.HiC_scaffold_10.154	BLASTX2	582	CAC5412510.1	unnamed protein product [Mytilus coruscus]	160	2e-09	53/183 (28%)	13	501	6	182
evm.model.HiC_scaffold_10.155	BLASTX1	183	ACY66476.1	glucosyl/glucuronosyl transferase, partial [Scylla paramamosain]	166	7e-13	31/42 (73%)	1	126	17	58
evm.model.HiC_scaffold_10.156	BLASTX1	418	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	150	3e-08	32/62 (51%)	8	193	85	145
evm.model.HiC_scaffold_10.157	BLASTX1	505	GBP30526.1	A-kinase anchor protein 5 [Eumeta japonica]	346	6e-38	74/155 (47%)	7	447	8	160
evm.model.HiC_scaffold_10.158	BLASTX1	1162	XP_045111979.1	neurotrypsin-like [Portunus trituberculatus]XP_045111980.1 neurotrypsin-like [Portunus trituberculatus]XP_045111981.1 neurotrypsin-like [Portunus trituberculatus]	468	4e-48	122/334 (36%)	19	870	321	643
evm.model.HiC_scaffold_10.159	BLASTX1	372	XP_042218362.1	protein phosphatase 1 regulatory subunit 14C-like [Homarus americanus]	419	5e-49	110/124 (88%)	1	372	71	192
evm.model.HiC_scaffold_10.16	BLASTN1	796	LR877197.1	Onychomys torridus genome assembly, chromosome: 10	165	6e-31	227/302 (75%)	3	293	50943356	50943642
evm.model.HiC_scaffold_10.160	BLASTX1	294	AHC55308.1	inhibitor of apoptosis protein [Palaemon carinicauda]	426	2e-46	68/88 (77%)	1	264	209	296
evm.model.HiC_scaffold_10.161	BLASTX1	494	GFO45155.1	LOW QUALITY PROTEIN: cysteine/serine-rich nuclear protein 1-like [Plakobranchus ocellatus]	134	1e-05	48/161 (29%)	9	458	106	251
evm.model.HiC_scaffold_10.162	BLASTX1	1027	XP_045129442.1	lachesin-like isoform X2 [Portunus trituberculatus]XP_045129449.1 lachesin-like isoform X2 [Portunus trituberculatus]	384	5e-40	81/163 (49%)	410	889	39	191
evm.model.HiC_scaffold_10.163	BLASTX1	321	XP_045158254.1	uncharacterized protein LOC123524255 [Mercenaria mercenaria]	137	4e-07	33/71 (46%)	82	291	106	176
evm.model.HiC_scaffold_10.164	No Hit Found										
evm.model.HiC_scaffold_10.165	No Hit Found										
evm.model.HiC_scaffold_10.166	No Hit Found										
