Treatment,Category,GO,Term,Number of Genes,Genes (Uniprot IDs),Fold Enrichment,P-Value,FDR
ambient,Molecular Function,GO:0003735,structural constituent of ribosome,34,"P46791, B4PEU8, P62083, Q962T1, Q4GXH6, Q7ZV82, Q4R506, Q7ZUB2, Q94613, Q86FP7, Q7KF90, P23403, Q4R7Y2, Q8WQI5, Q9NB33, Q9FJA6, Q95V32, Q9XYC2, O13019, Q90YV8, P31009, P46782, P55833, Q6QN05, P47826, P62282, P36241, Q5REY2, P49149, O16797, Q5R8K6, Q5REU2, A2I3Z2, P48855",13.8,2.05e-29,4.71e-27
ambient,Molecular Function,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",5,"Q5TTG1, Q9XW92, Q2TJ56, Q27331, Q9W4P5",11.7,7.03e-4,0.0809
ambient,Molecular Function,GO:0003746,translation elongation factor activity,6,"Q9YIC0, P29693, P13060, P29691, O42820, Q1HPK6",7,0.00142,0.109
ambient,Molecular Function,GO:0003723,RNA binding,23,"Q08473, Q6NRJ7, Q6GPM1, P04764, Q90YV8, P31009, Q92616, P46791, O75643, P46782, Q8VDM6, Q5R874, O57592, Q99PV0, P36241, Q4R506, Q9BUQ8, P41824, P23403, O16797, Q5REX3, Q9FJA6, Q14562",2,0.00278,0.16
ambient,Molecular Function,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",4,"Q5TTG1, Q9XW92, Q2TJ56, Q27331",11.9,0.00404,0.186
ambient,Molecular Function,GO:0003964,RNA-directed DNA polymerase activity,6,"P21329, Q95SX7, P21328, P08548, Q9NBX4, P11369",3.8,0.0205,0.785
ambient,Molecular Function,GO:0003743,translation initiation factor activity,5,"Q17Q06, B4LYI3, A7RWP6, Q1HDZ5, B0WAM5",3.9,0.0375,1
ambient,Molecular Function,GO:0004634,phosphopyruvate hydratase activity,2,"P04764, P56252",44.6,0.044,1
ambient,Molecular Function,GO:0008184,glycogen phosphorylase activity,2,"Q9XTL9, P11217",44.6,0.044,1
moderate OA,Molecular Function,GO:0003964,RNA-directed DNA polymerase activity,5,"P21329, Q95SX7, P21328, Q94HW2, Q9NBX4",30.8,1.16e-5,5.23e-4
severe OA,Molecular Function,GO:0003964,RNA-directed DNA polymerase activity,11,"Q99315, P04323, P21329, Q95SX7, P21328, P10394, P08548, O00370, Q9NBX4, P11369, P31792",8.3,5.61e-7,1.19e-4
severe OA,Molecular Function,GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",20,"A0AVK6, Q9UJN7, Q08ER8, Q13106, Q9P255, Q15937, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, P31368, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P47236, Q98SJ5, Q7Z7L9",3.1,1.52e-5,0.00161
severe OA,Molecular Function,GO:0000978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,17,"A0AVK6, Q08ER8, Q13106, Q7T2G1, Q6ZMW2, Q9P255, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, P31368, Q9HCG1, Q96N38, Q7Z340, P47236, A8MQ14",2.5,9.83e-4,0.0695
severe OA,Molecular Function,GO:0046872,metal ion binding,40,"Q5R633, Q8IRW8, Q08ER8, Q9UJN7, Q0V9R3, Q7T2G1, P11346, P50579, Q9P255, P11369, Q15937, Q9VGI8, Q7L3S4, P51522, Q80V42, Q8BQN6, O00370, Q5EAB6, P08045, Q9Z2W1, P08548, P49096, Q13106, Q6ZMW2, A2ARV4, Q960X4, Q9UQ26, Q8TF32, Q8NI51, Q08499, P17019, Q99315, Q9HCG1, Q96N38, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, Q2EI21",1.4,0.00929,0.493
severe OA,Molecular Function,GO:0003676,nucleic acid binding,10,"Q99315, P04323, P0C218, Q6DGV1, P10394, P29174, Q9VGI8, P11369, P31792, Q09575",2.4,0.0205,0.692
severe OA,Molecular Function,GO:0044325,ion channel binding,4,"Q12959, Q01484, Q9UQ26, Q08499",6.5,0.0223,0.692
severe OA,Molecular Function,GO:0001227,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",6,"A0AVK6, Q8BQN6, Q9UJN7, P17141, Q7T2G1, Q15937",3.7,0.0228,0.692
