"Treatment","gene","mean","sd","cv","DEG","change_in_treatment","spid","protein_names","evalue"
"Moderate","g5629",9.44432895920667,0.179293661116259,0.0189842668431702,"DEG","Up-regulated","Q9VMJ7","Lysine-specific demethylase lid (EC 1.14.11.67) (Histone demethylase lid) (Jumonji/ARID domain-containing protein lid) (Protein little imaginal disks) (Retinoblastoma-binding protein 2 homolog) ([histone H3]-trimethyl-L-lysine(4) demethylase lid)",4.39e-17
"Moderate","g5684",10.7841198360823,0.31298393856611,0.0290226688244788,"DEG","Up-regulated",NA,NA,NA
"Moderate","g5792",11.6548618222502,0.322895384241257,0.0277047801308824,"DEG","Up-regulated",NA,NA,NA
"Moderate","g60890",8.86660513856324,0.261581948335607,0.0295019282180411,"DEG","Up-regulated",NA,NA,NA
"Moderate","g60891",10.5189396959987,0.131547172874917,0.0125057445594975,"DEG","Up-regulated",NA,NA,NA
"Moderate","g6744",8.12965079315032,0.230041499157821,0.0282966027706435,"DEG","Up-regulated",NA,NA,NA
"Moderate","g74523",12.5551423690839,0.147665998783501,0.011761395804409,"DEG","Up-regulated","Q9NL83","Orcokinin peptides type A [Cleaved into: Orcomyotropin-like peptide; Orcokinin; Orcokinin-like peptide 1; Orcokinin-like peptide 2; Orcokinin-like peptide 3; Orcokinin-like peptide 4]",9.52e-50
"Moderate","g74524",12.275539675685,0.172019109819042,0.0140131606726645,"DEG","Up-regulated",NA,NA,NA
"Moderate","g8065",9.97453376167685,0.248360462809589,0.0248994558285837,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.94e-27
"Moderate","g85062",8.23720040566597,0.231948058459041,0.0281586032919019,"DEG","Up-regulated",NA,NA,NA
"Moderate","g85684",11.435795086839,0.26242307609815,0.0229475147207002,"DEG","Up-regulated","P48613","Protein tipE (Temperature-induced paralytic E)",2.29e-16
"Moderate","g8820",8.25476795696983,0.213823625870899,0.0259030450020535,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",3.74e-29
"Moderate","g91175",8.06142902155877,0.230098989775556,0.0285432011074215,"DEG","Up-regulated",NA,NA,NA
"Moderate","g92129",7.87197580342395,0.205304673455766,0.0260804502684659,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.19e-24
"Moderate","g92576",9.98515368909211,0.16643937658031,0.0166686845052901,"DEG","Up-regulated",NA,NA,NA
"Moderate","g94257",6.88767615581551,0.199667379015844,0.0289890776655138,"DEG","Up-regulated",NA,NA,NA
"Moderate","g95785",8.44702304191987,0.14952368129782,0.0177013464454616,"DEG","Up-regulated",NA,NA,NA
"Moderate","g97061",10.0401779610573,0.223867494346647,0.0222971639760727,"DEG","Up-regulated",NA,NA,NA
"Moderate","g99029",8.95761513219821,0.217003319777961,0.0242255685888916,"DEG","Up-regulated",NA,NA,NA
