"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","start","end","saccver","spid","gene_uni","evalue","protein_names","gene_ontology_biological_process","gene_ontology_i_ds"
"g36661",59.4018347297661,6.39317168460786,0.89161086254282,7.17036091998131,7.48003024227045e-13,4.68369511637147e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g154026",219.156025384691,1.51742452563862,0.211557868106075,7.17262155845598,7.35750346673166e-13,4.68369511637147e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g96133",24.3926282054693,4.26189053980541,0.605560860247114,7.03792272516795,1.95126843293366e-12,1.05095317797807e-08,1193,6945,"sp|Q95SX7|RTBS_DROME","Q95SX7","RTBS",7.5e-24,"Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g139790",22.9912672293845,6.10412098618354,0.86905670473807,7.02384660621576,2.15841770574821e-12,1.07948636372199e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g72496",42.0970116403082,6.25451010988541,0.900267997499993,6.94738691951055,3.72114114815712e-12,1.73697907274444e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g104526",21.2284446239816,5.61790042149013,0.811363795053562,6.92402157421785,4.38999010178887e-12,1.92111454341908e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g23420",56.1104291794293,3.85315027589682,0.564364468818945,6.8274147094348,8.64584963134912e-12,3.56097117345766e-08,0,32832,"sp|B3EWZ6|MLRP2_ACRMI","B3EWZ6","MLRP2",0,"MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2) (Fragment)",NA,"GO:0005576; GO:0016020"
"g146361",97.2925415330253,4.42015410376612,0.651428349082836,6.7853265980662,1.15824190220526e-11,4.50543230603376e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g57002",333.224623751862,4.66549517559231,0.693664916642663,6.72586296878512,1.74554780674192e-11,6.11098831662279e-08,4396,14144,"sp|P81182|BGBP_PENVA","P81182","BGBP",0,"Beta-1,3-glucan-binding protein (BGBP) (Beta-1,3-glucan recognition protein) (BetaGRP) (BetaGBP-HDL) (High density lipoprotein)","cell surface pattern recognition receptor signaling pathway [GO:0002752]; innate immune response [GO:0045087]; lipid transport [GO:0006869]; regulation of innate immune response [GO:0045088]","GO:0002752; GO:0005576; GO:0006869; GO:0038187; GO:0045087; GO:0045088"
"g94663",48.4818250758263,3.9301041060683,0.584133813555195,6.72808869280933,1.71906133354843e-11,6.11098831662279e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g91194",18.2704207498613,6.14977127933267,0.937254872602973,6.5614716541866,5.32793044428385e-11,1.68448690289576e-07,0,6917,"sp|P22985|XDH_RAT","P22985","XDH",3.83e-12,"Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; adenosine catabolic process [GO:0006154]; aging [GO:0007568]; allantoin metabolic process [GO:0000255]; AMP catabolic process [GO:0006196]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; dAMP catabolic process [GO:0046059]; deoxyadenosine catabolic process [GO:0006157]; deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; dGMP catabolic process [GO:0046055]; GMP catabolic process [GO:0046038]; guanine catabolic process [GO:0006147]; hypoxanthine catabolic process [GO:0009114]; IMP catabolic process [GO:0006204]; inosine catabolic process [GO:0006148]; iron-sulfur cluster assembly [GO:0016226]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; regulation of epithelial cell differentiation [GO:0030856]; response to aluminum ion [GO:0010044]; response to azide [GO:0097184]; response to carbon monoxide [GO:0034465]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to lipopolysaccharide [GO:0032496]; xanthine catabolic process [GO:0009115]","GO:0000255; GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006147; GO:0006148; GO:0006149; GO:0006154; GO:0006157; GO:0006161; GO:0006196; GO:0006204; GO:0006919; GO:0007568; GO:0007595; GO:0009114; GO:0009115; GO:0009408; GO:0010044; GO:0010629; GO:0016226; GO:0016491; GO:0016529; GO:0030856; GO:0032496; GO:0034465; GO:0042542; GO:0042802; GO:0042803; GO:0043546; GO:0045602; GO:0046038; GO:0046055; GO:0046059; GO:0050421; GO:0050660; GO:0051537; GO:0051898; GO:0070674; GO:0070675; GO:0071347; GO:0071356; GO:0071949; GO:0097184; GO:1900745; GO:1900747; GO:2000379; GO:2001213"
"g94664",48.665168453471,3.65023033335818,0.556711037194409,6.55677737548336,5.49830010024046e-11,1.68448690289576e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g132823",23.9597605092424,1.33494575049135,0.20362726431282,6.55583010947177,5.53331982727336e-11,1.68448690289576e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g80595",23.8947395446667,-2.34846274046408,0.364783066411008,-6.43797082899134,1.21081262522334e-10,3.53244493303698e-07,6653,8964,"sp|O00370|LORF2_HUMAN","O00370","LORF2",1.73e-24,"LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]","DNA recombination [GO:0006310]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; reverse transcription involved in RNA-mediated transposition [GO:0032199]; transposition, RNA-mediated [GO:0032197]","GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305"
"g122771",31.8349645954176,4.69461711015814,0.730097300550632,6.43012528140771,1.27498816748237e-10,3.57088486043122e-07,0,4239,"sp|B3EWZ6|MLRP2_ACRMI","B3EWZ6","MLRP2",1.85e-128,"MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2) (Fragment)",NA,"GO:0005576; GO:0016020"
"g52273",45.7311305577461,5.38773409372291,0.839809497570533,6.41542410428671,1.40431363276446e-10,3.78181661303469e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g99479",26.2732989446257,4.41487695706465,0.688902995059492,6.40856113085035,1.4689937876317e-10,3.80948174157023e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g53690",45.3523046068906,-1.15294269563943,0.180245338815278,-6.39651878499341,1.58959285109059e-10,3.97500400884504e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g73940",186.064057192153,3.58027350178784,0.560402206022766,6.38875697366972,1.67239597959213e-10,4.03785592065799e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g29384",105.195659022056,2.53322676634139,0.396869922423031,6.38301524810737,1.73634609256582e-10,4.05251602364245e-07,0,36208,"sp|B3EWZ5|MLRP1_ACRMI","B3EWZ5","MLRP1",1.16e-172,"MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",NA,"GO:0005576; GO:0016020"
"g58444",17.8915323994751,4.87317715913686,0.764944371729538,6.37062947220412,1.88253944774683e-10,4.25198861459154e-07,0,8264,"sp|Q5VYJ5|MALR1_HUMAN","Q5VYJ5","MALR1",6.67e-11,"MAM and LDL-receptor class A domain-containing protein 1","cholesterol homeostasis [GO:0042632]; negative regulation of bile acid biosynthetic process [GO:0070858]","GO:0005794; GO:0016021; GO:0030659; GO:0042632; GO:0070858"
"g97681",16.0374753841018,6.33445695624314,0.995256902258419,6.36464508999546,1.95741814444854e-10,4.28295323868742e-07,710,2179,"sp|Q16563|SYPL1_HUMAN","Q16563","SYPL1",8.19e-29,"Synaptophysin-like protein 1 (Pantophysin)","chemical synaptic transmission [GO:0007268]","GO:0005887; GO:0007268; GO:0016021; GO:0030141; GO:0030285; GO:0030672; GO:0042470; GO:0070062"
"g31622",20.6311474318388,4.13231044811231,0.649837174074706,6.35899362635917,2.03079832621408e-10,4.30886173348053e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g87706",26.6243421640747,6.42931159536639,1.01629755874259,6.32620981921971,2.51256119431134e-10,5.17425028539092e-07,0,6628,"sp|Q54K67|MANG_DICDI","Q54K67","MANG",9.78e-17,"Alpha-mannosidase G (EC 3.2.1.24)","mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]","GO:0004559; GO:0006013; GO:0009313; GO:0030246; GO:0046872"
"g57249",19.6194612519392,3.86086066523135,0.61208981372691,6.307670179517,2.83267043592185e-10,5.66679767378218e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g21471",50.2383126054997,4.56040939528822,0.726311192628668,6.27886426861077,3.41055165146903e-10,6.63333348701552e-07,24355,27804,"sp|O19015|BGAL_FELCA","O19015","BGAL",7.75e-11,"Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase)","carbohydrate metabolic process [GO:0005975]","GO:0004565; GO:0005764; GO:0005773; GO:0005975"
"g124730",354.747362749753,1.07370158441301,0.171770250766171,6.25080058755126,4.08353993233988e-10,7.72760267520469e-07,0,4064,"sp|Q6GMC7|AK1A1_XENLA","Q6GMC7","AK1A1",6.14e-11,"Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase)","aldehyde catabolic process [GO:0046185]; cellular detoxification of aldehyde [GO:0110095]; lipid metabolic process [GO:0006629]","GO:0005829; GO:0006629; GO:0008106; GO:0016324; GO:0046185; GO:0110095"
"g80405",369.837443180285,-1.87746701445342,0.301233377703851,-6.23259955043627,4.58757818809064e-10,8.45297498878239e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g99049",64.5815764471212,3.40764598549913,0.548411042541537,6.21367135444037,5.1760728982846e-10,9.29277621005363e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g37881",18.5540459393947,2.76503314877141,0.445587742852032,6.20536177919418,5.4571216444114e-10,9.55241858245993e-07,0,21764,"sp|Q9NBX4|RTXE_DROME","Q9NBX4","RTXE",5.78e-12,"Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g32791",18.1379311745532,5.50154772457435,0.888278228459344,6.19349607849378,5.88441533930358e-10,9.80988079112757e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g88738",48.5520358646211,1.38977933812514,0.224328792640212,6.19527846500797,5.81820736638958e-10,9.80988079112757e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g74523",5856.40861228115,-0.398313947778977,0.0645430476306049,-6.17129129164495,6.77344995754432e-10,1.10275133570204e-06,0,6289,"sp|Q9NL83|ORCKA_PROCL","Q9NL83","ORCKA",9.52e-50,"Orcokinin peptides type A [Cleaved into: Orcomyotropin-like peptide; Orcokinin; Orcokinin-like peptide 1; Orcokinin-like peptide 2; Orcokinin-like peptide 3; Orcokinin-like peptide 4]","neuropeptide signaling pathway [GO:0007218]","GO:0005184; GO:0005576; GO:0007218"
"g99050",23.8725401494463,3.35358166225438,0.543734457478138,6.16768280202145,6.92979787638744e-10,1.10275133570204e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g98008",17.1321330143289,4.83282662952298,0.789227200819345,6.12349222696041,9.15463234835472e-10,1.42442010614911e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g146797",21.5004246539841,4.40917806353225,0.721002925295911,6.11534004764635,9.63512832817003e-10,1.46659220713437e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g140341",12.9690417824456,2.23123188687092,0.365832278544329,6.09905691140523,1.06696080478028e-09,1.5707615238069e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g149788",51.0839657789539,3.17091832163338,0.520028404903114,6.09758676975377,1.07681672059658e-09,1.5707615238069e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g113541",38.6156318763354,5.00657509719811,0.821878900619652,6.09162139753609,1.1177277650295e-09,1.59716454391501e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g56507",34.3905578040759,3.09463656689491,0.509175541075543,6.0777400272567,1.21888151925969e-09,1.70687292431049e-06,625,5588,"sp|P04323|POL3_DROME","P04323","POL3",4.37e-82,"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","DNA integration [GO:0015074]","GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"g58468",38.3672066208464,2.34454966992265,0.386024980553663,6.07356981550765,1.25097573950738e-09,1.7174670456633e-06,0,13937,"sp|Q9NBX4|RTXE_DROME","Q9NBX4","RTXE",3.03e-23,"Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g83832",34.9666114713412,4.17856766475763,0.69413173249021,6.01984820628636,1.74580710779003e-09,2.35072927063927e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g59432",24.6120755081074,4.59514491090075,0.763950659890321,6.0149760346571,1.79913314701329e-09,2.37682461674673e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g73734",185.120775681942,3.38753676639797,0.565192163601111,5.99360179520951,2.05243588269222e-09,2.65776114056948e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g78509",14.1911924096282,3.82360608322264,0.638242931414225,5.99083185261489,2.0877040579754e-09,2.65776114056948e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g149135",106.432795155886,1.27913375694095,0.215263949572628,5.94216430331443,2.81283271749065e-09,3.51694502166536e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g9144",107.74391984203,-0.616767056261028,0.103971715369339,-5.93206579376022,2.99146694698442e-09,3.67467601217465e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g8962",119.831223069175,0.730402802700181,0.123808834965261,5.89944007554163,3.64737211527958e-09,4.32850340284146e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g13459",2744.81477501215,0.816536852652272,0.138391208085081,5.90020756340445,3.63044558635347e-09,4.32850340284146e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g79937",26.4222786017294,5.31560327134819,0.903019066433921,5.88647955390337,3.94508536560694e-09,4.60378311881778e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g9738",115.413020120168,3.05564244324967,0.520500203866619,5.87058836970734,4.3425123690356e-09,4.98449231237925e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g145502",52.9082977826007,2.51087187530503,0.42826559269014,5.8628848970403,4.54893568150909e-09,5.1372157830307e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g72805",7143.57233651064,0.538696795834754,0.0922113239193206,5.8419809296533,5.15837127627514e-09,5.73299746067036e-06,0,5886,"sp|Q01768|NDKB_MOUSE","Q01768","NDKB",4.29e-33,"Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3) (P18) (nm23-M2)","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; CTP biosynthetic process [GO:0006241]; dTMP biosynthetic process [GO:0006231]; GTP biosynthetic process [GO:0006183]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of apoptotic process [GO:0043066]; negative regulation of myeloid leukocyte differentiation [GO:0002762]; nucleoside diphosphate phosphorylation [GO:0006165]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; regulation of apoptotic process [GO:0042981]; UTP biosynthetic process [GO:0006228]","GO:0001726; GO:0002762; GO:0003677; GO:0003713; GO:0004550; GO:0004673; GO:0004674; GO:0005504; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0006165; GO:0006183; GO:0006228; GO:0006231; GO:0006241; GO:0007189; GO:0007229; GO:0010976; GO:0019003; GO:0019215; GO:0019899; GO:0030027; GO:0031966; GO:0042802; GO:0042981; GO:0043066; GO:0043209; GO:0045618; GO:0045893; GO:0045944; GO:0046777; GO:0046872; GO:0048471; GO:0050679; GO:0051880; GO:0071944; GO:1901363"
"g157582",38.3107353071782,5.55933768531181,0.952774036892217,5.8348962818565,5.3824037838473e-09,5.88851793964719e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g86262",23.8079616958024,1.06808127343968,0.183194027217061,5.83032803888383,5.53185193984433e-09,5.95891090960031e-06,0,3664,"sp|A7YWE4|AL4A1_BOVIN","A7YWE4","AL4A1",5.9e-17,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)","proline catabolic process to glutamate [GO:0010133]","GO:0003842; GO:0005759; GO:0010133; GO:0016620"
"g11932",34.7801360640469,1.84450887385451,0.316920458726718,5.82010035346137,5.8812305249553e-09,6.23927271055031e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g87015",492.328339526144,1.46641781207229,0.252545058313368,5.80655912202685,6.37697613879935e-09,6.66422560129035e-06,0,7301,"sp|Q9NBX4|RTXE_DROME","Q9NBX4","RTXE",1.15e-12,"Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g146509",101.777790174915,2.08072286156621,0.358696074936895,5.80079629232705,6.6000740783286e-09,6.7959409825943e-06,0,1792,"sp|Q8N0N3|BGBP_PENMO","Q8N0N3","BGBP",7.49e-22,"Beta-1,3-glucan-binding protein (GBP)","carbohydrate metabolic process [GO:0005975]; innate immune response [GO:0045087]","GO:0001872; GO:0004553; GO:0005576; GO:0005975; GO:0045087"
"g20154",156.245514174814,2.08803152089443,0.361106117628265,5.78232109333555,7.36769072155638e-09,7.47639085423094e-06,0,49874,"sp|Q9NBX4|RTXE_DROME","Q9NBX4","RTXE",2.73e-24,"Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g147186",23.0668629154035,5.75541164588063,1.0014958627565,5.74681519905588,9.09400260324052e-09,9.09634106105278e-06,0,2234,"sp|Q95SX7|RTBS_DROME","Q95SX7","RTBS",2.98e-13,"Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"g146559",17.9783373916935,2.7989920357672,0.489832425534395,5.71418283041097,1.10232435203593e-08,1.08707811944862e-05,0,2024,"sp|Q9NTJ4|MA2C1_HUMAN","Q9NTJ4","MA2C1",5.66e-13,"Alpha-mannosidase 2C1 (EC 3.2.1.24) (Alpha mannosidase 6A8B) (Alpha-D-mannoside mannohydrolase) (Mannosidase alpha class 2C member 1)","mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]","GO:0004559; GO:0005654; GO:0005829; GO:0006013; GO:0009313; GO:0030246; GO:0046872"
"g52187",52.9965323211327,5.18787982340861,0.90914936795423,5.706300863501,1.15457841830469e-08,1.12056513297846e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
