id	gene_ontology_i_ds
g301	GO:0000184; GO:0000294; GO:0000781; GO:0000785; GO:0000932; GO:0000956; GO:0003682; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006260; GO:0006281; GO:0006449; GO:0008270; GO:0009048; GO:0016887; GO:0032201; GO:0032204; GO:0032508; GO:0035145; GO:0036121; GO:0042162; GO:0044530; GO:0044770; GO:0044877; GO:0048471; GO:0061014; GO:0061158; GO:0071044; GO:0071222; GO:0071347
g1240	GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007520; GO:0008340; GO:0008345; GO:0009953; GO:0015629; GO:0016322; GO:0016540; GO:0042335; GO:0043025; GO:0050832
g4691	GO:0000054; GO:0001558; GO:0005506; GO:0005524; GO:0005737; GO:0005829; GO:0006412; GO:0006413; GO:0006415; GO:0006417; GO:0031369; GO:0032790; GO:0043024; GO:0043524; GO:0051539; GO:0070481
g4229	GO:0003964; GO:0006313
g9118	GO:0000902; GO:0005634; GO:0005737; GO:0046872
g128	GO:0001765; GO:0001931; GO:0002020; GO:0002080; GO:0005768; GO:0005886; GO:0005901; GO:0005912; GO:0007155; GO:0010629; GO:0016020; GO:0016323; GO:0016600; GO:0030027; GO:0030139; GO:0031410; GO:0031982; GO:0032839; GO:0035255; GO:0044291; GO:0044860; GO:0045121; GO:0045202; GO:0045661; GO:0048471; GO:0050821; GO:0051092; GO:0072659; GO:0098937; GO:0098978; GO:0099029; GO:0099072; GO:1902992; GO:1903905
g2614	GO:0003964; GO:0006313
g9179	GO:0000166; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004170; GO:0004190; GO:0004523; GO:0006310; GO:0008270; GO:0015074; GO:0019013; GO:0039660; GO:0044826; GO:0046718; GO:0075713
g1239	GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007298; GO:0016020; GO:0016322; GO:0016540
g6214	GO:0003925; GO:0005525; GO:0005886; GO:0007265
g8568	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g3973	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g2361	GO:0003964; GO:0006313
g5998	GO:0003964; GO:0046872
g2005	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g6709	GO:0003677; GO:0005634
g2635	GO:0000122; GO:0000977; GO:0000981; GO:0003682; GO:0005634; GO:0005654; GO:0006357; GO:0007420; GO:0007612; GO:0007613; GO:0032991; GO:0035176; GO:0043231; GO:0045892; GO:0048286
g7662	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
g4384	GO:0003677; GO:0005634
g8733	GO:0003964; GO:0006313
g3793	GO:0003964; GO:0006313
g7875	GO:0000122; GO:0001650; GO:0003714; GO:0005654; GO:0005829; GO:0006629; GO:0017053; GO:0046872
g3784	GO:0003824
g627	GO:0003964; GO:0006313
g2617	GO:0005179; GO:0005576; GO:0007593; GO:0048067
g6887	GO:0003964; GO:0006313
g7832	GO:0000407; GO:0006914
g5369	GO:0005506; GO:0005634; GO:0006449; GO:0008283; GO:0010494; GO:0018126; GO:0031418; GO:0031543; GO:0031544; GO:0034063
g3071	GO:0003964
g728	GO:0003723; GO:0005634
g4385	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
g7955	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g6339	GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005697; GO:0005730; GO:0006364; GO:0016020; GO:0016887; GO:0032092; GO:0042254; GO:0042273; GO:0051973; GO:1904749; GO:1990275
g5091	GO:0003676; GO:0005634; GO:0005737; GO:0008270; GO:0030687; GO:0042273
g2821	GO:0005049; GO:0005634; GO:0005643; GO:0005737; GO:0006611; GO:0031267
g3072	GO:0005519; GO:0005768; GO:0005794; GO:0007318; GO:0015031; GO:0031532
g1498	GO:0003964; GO:0006313
g2006	GO:0003677; GO:0005634; GO:0046872
g2244	GO:0005634; GO:0005737; GO:0030218
g2203	GO:0003964; GO:0006313
g8115	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
g7343	GO:0005388; GO:0005524; GO:0005783; GO:0005789; GO:0006635; GO:0006874; GO:0007274; GO:0007629; GO:0008610; GO:0010884; GO:0012505; GO:0015662; GO:0016021; GO:0016529; GO:0016887; GO:0030322; GO:0030707; GO:0033017; GO:0034220; GO:0036335; GO:0045202; GO:0046872; GO:0048863; GO:0051282; GO:0060047; GO:0070588; GO:1901896; GO:1903515; GO:1990845
g4389	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006421
g3230	GO:0003964
g5856	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g6633	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g58	GO:0000340; GO:0000932; GO:0005845; GO:0006355; GO:0016442; GO:0031047; GO:0031054; GO:0035197; GO:0035198; GO:0035278; GO:0035279; GO:0045947; GO:0046872; GO:0060213; GO:0070551; GO:0070578; GO:1900153
g763	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006412; GO:0007165; GO:0016020; GO:0070062
g3478	GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0008270; GO:0031624; GO:0043161; GO:0051402; GO:0061630
g7956	GO:0003964; GO:0046872
g2841	GO:0005049; GO:0005634; GO:0005643; GO:0005737; GO:0006611; GO:0006913; GO:0031267
g4066	GO:0004712; GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005634; GO:0005743; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0007049; GO:0007155; GO:0007169; GO:0007173; GO:0010008; GO:0016020; GO:0019903; GO:0020037; GO:0030054; GO:0030154; GO:0031234; GO:0032991; GO:0036035; GO:0045087; GO:0045453; GO:0048471; GO:0050847; GO:0051726; GO:0070851; GO:0071253; GO:2001237; GO:2001243
g3730	GO:0005737
g738	GO:0004722; GO:0004725; GO:0005634; GO:0008138; GO:0016311; GO:0016791
g6881	GO:0005249; GO:0005251; GO:0005516; GO:0005887; GO:0006813; GO:0008076; GO:0016021; GO:0030118; GO:0034765; GO:0071805
g3715	GO:0000922; GO:0001778; GO:0005524; GO:0005634; GO:0005643; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0005886; GO:0006813; GO:0006914; GO:0006997; GO:0007080; GO:0008022; GO:0010008; GO:0010824; GO:0010971; GO:0015031; GO:0016197; GO:0016236; GO:0016887; GO:0030301; GO:0030496; GO:0031468; GO:0031902; GO:0032510; GO:0033993; GO:0036258; GO:0039702; GO:0042802; GO:0042803; GO:0043162; GO:0044877; GO:0046761; GO:0051261; GO:0060548; GO:0061738; GO:0061764; GO:0061952; GO:0070062; GO:0071985; GO:0090148; GO:0090543; GO:0090611; GO:0097352; GO:1901673; GO:1903542; GO:1903543; GO:1903724; GO:1904903; GO:1904949
g4387	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006421
g5757	GO:0003964; GO:0006313
g4492	GO:0005242; GO:0005249; GO:0005886; GO:0005887; GO:0042391; GO:0060307; GO:0071805; GO:0086011; GO:0086091
g5539	GO:0003677; GO:0005634
g9013	GO:0000165; GO:0001894; GO:0004672; GO:0004674; GO:0004712; GO:0005524; GO:0005737; GO:0005819; GO:0005874; GO:0005886; GO:0005938; GO:0006468; GO:0006915; GO:0016020; GO:0016319; GO:0030424; GO:0030514; GO:0030707; GO:0035094; GO:0035332; GO:0035556; GO:0036335; GO:0042220; GO:0043204; GO:0043408; GO:0045178; GO:0045471; GO:0045807; GO:0045886; GO:0046621; GO:0048036; GO:0048812; GO:0106310
g5900	GO:0000978; GO:0000981; GO:0001228; GO:0001553; GO:0001666; GO:0001779; GO:0001889; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0005634; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0006366; GO:0006952; GO:0006953; GO:0007259; GO:0007548; GO:0007565; GO:0007595; GO:0008284; GO:0019218; GO:0019221; GO:0019530; GO:0019915; GO:0030155; GO:0030856; GO:0032355; GO:0032496; GO:0032743; GO:0032819; GO:0032825; GO:0032870; GO:0033077; GO:0035259; GO:0040014; GO:0040018; GO:0042104; GO:0042127; GO:0042448; GO:0042802; GO:0042803; GO:0043029; GO:0043066; GO:0043434; GO:0043565; GO:0045471; GO:0045579; GO:0045588; GO:0045621; GO:0045647; GO:0045648; GO:0045931; GO:0045944; GO:0045954; GO:0046543; GO:0046544; GO:0046983; GO:0048541; GO:0048661; GO:0050729; GO:0051272; GO:0060397; GO:0070669; GO:0070670; GO:0070672; GO:0071363; GO:0071364; GO:0097531
g724	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g7724	GO:0000932; GO:0000956; GO:0000976; GO:0000978; GO:0000993; GO:0001046; GO:0003723; GO:0003725; GO:0003727; GO:0005634; GO:0005737; GO:0005829; GO:0005844; GO:0010501; GO:0010586; GO:0010628; GO:0016246; GO:0016442; GO:0016525; GO:0031054; GO:0035196; GO:0035198; GO:0035278; GO:0035280; GO:0036464; GO:0045944; GO:0070578; GO:1901224; GO:1990904
g5892	GO:0000785; GO:0000978; GO:0000981; GO:0001938; GO:0003700; GO:0005654; GO:0005829; GO:0006357; GO:0006952; GO:0007259; GO:0007595; GO:0019221; GO:0019530; GO:0038026; GO:0040014; GO:0042127; GO:0043434; GO:0043536; GO:0045944; GO:0060397; GO:0090575
g4105	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g1162	GO:0005245; GO:0005891; GO:0034765; GO:0046872
g1479	GO:0003964; GO:0006313
g2980	GO:0005509; GO:0005743; GO:0006851; GO:0006875; GO:0015369; GO:0016021; GO:0034214; GO:0043022; GO:0051260; GO:0051560; GO:0099093
g4554	GO:0003964; GO:0006313
g5534	GO:0003964; GO:0006313
g7686	GO:0003964; GO:0006313
g7483	GO:0000902; GO:0002118; GO:0002433; GO:0003924; GO:0005525; GO:0005856; GO:0005886; GO:0005938; GO:0006909; GO:0007015; GO:0007163; GO:0007254; GO:0007266; GO:0007390; GO:0007391; GO:0007394; GO:0007424; GO:0007426; GO:0007435; GO:0007520; GO:0007617; GO:0007631; GO:0008045; GO:0008078; GO:0008258; GO:0008360; GO:0010883; GO:0016203; GO:0019901; GO:0030032; GO:0030865; GO:0031410; GO:0031532; GO:0032956; GO:0035010; GO:0035011; GO:0035099; GO:0042742; GO:0042995; GO:0043652; GO:0046843; GO:0050770; GO:0051017; GO:0090303; GO:1903391
g6569	GO:0003964
g5291	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g1963	GO:0003964; GO:0006313
g6693	GO:0003964
g6861	GO:0003824
g3280	GO:0003964; GO:0006313
g6852	GO:0003964; GO:0006313
g4968	GO:0003677; GO:0003887; GO:0003964; GO:0004523; GO:0006260; GO:0046872
g4100	GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0007409; GO:0007411; GO:0007464; GO:0007526; GO:0008406; GO:0016199; GO:0035167; GO:0045467; GO:0045476; GO:0045893; GO:0048813
g7949	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
g2739	GO:0003964; GO:0006313
g868	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0046872
g4743	GO:0003964; GO:0006313
g4359	GO:0003964
g122	GO:0003723; GO:0004652; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0006378; GO:0007616; GO:0016779; GO:0031123; GO:0043005; GO:0043631; GO:0046872
g6684	GO:0003964; GO:0006313
g7329	GO:0003677; GO:0005634; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
g1960	GO:0003964; GO:0006313
g5390	GO:0003964; GO:0006313
g4167	GO:0000122; GO:0005200; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0005925; GO:0007015; GO:0007155; GO:0017166; GO:0030055; GO:0031589; GO:0043410; GO:0051495; GO:0051496
g8399	GO:0002027; GO:0004114; GO:0004115; GO:0005634; GO:0005815; GO:0005829; GO:0005886; GO:0005891; GO:0006198; GO:0007165; GO:0010469; GO:0010880; GO:0016020; GO:0016324; GO:0019899; GO:0019933; GO:0030552; GO:0031698; GO:0032729; GO:0032743; GO:0032754; GO:0033137; GO:0034704; GO:0043951; GO:0044325; GO:0045822; GO:0046872; GO:0048471; GO:0050852; GO:0051117; GO:0060314; GO:0061028; GO:0071320; GO:0071872; GO:0071875; GO:0086004; GO:0086024; GO:0097110; GO:1901363; GO:1901844; GO:1901898
g4339	GO:0003964; GO:0006313
g3290	GO:0005634; GO:0006355; GO:0048511
g2237	GO:0003824; GO:0005634; GO:0005737
